word,definition,theme,target_code,link,reason
국화는 서리를 맞아도 꺾이지 않는다,절개나 의지가 매우 강한 사람은 어떤 시련에도 굴하지 아니하고 꿋꿋이 이겨 냄을 비유적으로 이르는 말.,vitality,607578,https://opendict.korean.go.kr/dictionary/view?sense_no=607578,시련에도 굴하지 않는 의지가 활력의 핵심이라서
강물이 돌을 굴리지 못한다,"강물이 아무리 흘러도 돌을 움직여 굴리지는 못한다는 뜻으로, 세태에 흔들리지 아니하고 지조 있게 꿋꿋이 행동함을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘강물이 흘러도 돌은 굴지 않는다’",vitality,607331,https://opendict.korean.go.kr/dictionary/view?sense_no=607331,세태에 흔들리지 않고 지조 있게 행동해서
돈 주고 못 살 것은 기개,의지와 기개가 있는 사람은 재물에 팔려 행동하지 아니함을 이르는 말.,vitality,609132,https://opendict.korean.go.kr/dictionary/view?sense_no=609132,재물에 팔리지 않는 의지가 기개의 본보기라서
큰 고기를 낚기 위하여 작은 미끼를 아끼지 말라,큰일을 이루기 위하여서는 작은 이익 정도는 희생하며 대담하게 행동하여야 함을 이르는 말.,vitality,615612,https://opendict.korean.go.kr/dictionary/view?sense_no=615612,큰일을 위한 대담한 희생·행동을 촉구해서
포도청의 문고리 빼겠다,대담하고 겁이 없는 사람의 행동을 비유적으로 이르는 말.,vitality,606660,https://opendict.korean.go.kr/dictionary/view?sense_no=606660,겁 없는 대담함의 대표 표현이라서
홍두깨 세 번 맞아 담 안 뛰어넘는 소가 없다,아무리 참을성이 많은 사람도 혹심한 처우에는 저항을 하기 마련이라는 말.,vitality,616265,https://opendict.korean.go.kr/dictionary/view?sense_no=616265,혹심한 처우에 저항하는 의지를 보여줘서
말로는 사촌 기와집도 지어 준다,실지의 행동이나 실천은 없이 그저 말로만 하는 것이야 무슨 말인들 못하겠는가 하는 뜻으로 이르는 말. &lt;동의 속담&gt; ‘말로는 천당도 짓는다’,vitality,609750,https://opendict.korean.go.kr/dictionary/view?sense_no=609750,말뿐인 행동을 경계하고 실천을 촉구해서
남의 떡방아에 키를 들고 달려간다,자기와 아무런 관계도 없는 일에 함부로 뛰어듦을 비유적으로 이르는 말.,vitality,608458,https://opendict.korean.go.kr/dictionary/view?sense_no=608458,함부로 뛰어드는 경거망동을 경계하는 행동 지침이라서
섶을 지고 불로 들어가려 한다,"당장에 불이 붙을 섶을 지고 이글거리는 불 속으로 뛰어든다는 뜻으로, 앞뒤 가리지 못하고 미련하게 행동함을 놀림조로 이르는 말.",vitality,604201,https://opendict.korean.go.kr/dictionary/view?sense_no=604201,앞뒤 가리지 않는 미련한 행동을 경계해서
적의 눈과 귀는 멀게 하고 내 눈과 귀는 밝아야 한다,"적이 아군의 전술과 역량, 움직임에 대하여서는 잘 알지 못하도록 하면서 적에 대하여서는 훤히 알고 있어야 싸움에서 승리할 수 있음을 이르는 말.",vitality,614480,https://opendict.korean.go.kr/dictionary/view?sense_no=614480,승리를 위한 대비·통찰이라서
말은 쉬워도 행동은 힘들다,무슨 일이나 말로 하기는 쉬워도 실제로 행동에 옮기기는 쉽지 아니하다는 말.,vitality,609762,https://opendict.korean.go.kr/dictionary/view?sense_no=609762,행동의 어려움을 인정하고 실천을 강조해서
백 마디 말보다 실천이 귀중하다,말을 많이 하는 것보다 실천하는 것이 더 중요하다는 말.,vitality,610904,https://opendict.korean.go.kr/dictionary/view?sense_no=610904,실천 우선이라는 활력 테마의 정석이라서
하자고 결심하면 못 해낼 일이 없다,결심과 각오만 단단하다면 무슨 일이든 성사할 수 있다는 말.,vitality,606739,https://opendict.korean.go.kr/dictionary/view?sense_no=606739,결심의 힘을 북돋는 메시지라서
고기 보고 기뻐만 말고 가서 그물을 떠라[뜨라],목적한 바가 있으면 먼저 그 일을 이룰 준비를 단단히 하라는 말. &lt;동의 속담&gt; ‘고기를 잡고자 하거든 돌아가 그물을 떠라’,vitality,607728,https://opendict.korean.go.kr/dictionary/view?sense_no=607728,바라기만 말고 그물을 뜨듯 준비·행동으로 옮기라서
웃는 집에 복이 있다,집안이 화목하여 늘 웃음꽃이 피는 집에는 행복이 찾아들게 된다는 말.,happiness,613644,https://opendict.korean.go.kr/dictionary/view?sense_no=613644,화목·웃음과 행복의 직결이라는 대표 명제라서
뒤를 돌아보고 울기보다는 앞을 바라보고 웃으랬다,지난날의 잘못을 뉘우치며 한숨을 지을 것이 아니라 밝은 앞날을 내다보며 희망을 가지고 살아야 한다는 말.,happiness,609278,https://opendict.korean.go.kr/dictionary/view?sense_no=609278,후회 대신 희망을 보라는 밝은 메시지라서
배부르니까 평안 감사도 부럽지 않다,굶주렸던 사람이 배가 부르도록 먹으면 만족하게 됨을 비유적으로 이르는 말.,happiness,610844,https://opendict.korean.go.kr/dictionary/view?sense_no=610844,만족이 부러움을 이긴다는 교훈이라서
아이 놓고는 웃어도 돈 놓고는 못 웃는다,"아이가 있는 집은 웃음이 늘 끊이지 않고 화목하지만, 돈이 많은 집은 걱정이 늘 끊이지 않는다는 말.",happiness,613006,https://opendict.korean.go.kr/dictionary/view?sense_no=613006,돈보다 가족의 화목이 기쁨의 원천이라서
복 속에서 복을 모른다,너무 행복에 겨워 그 속에 취하게 되면 불행하던 지난날의 처지를 잊어버리거나 오늘의 행복을 모르는 지경에 이르게 됨을 비유적으로 이르는 말.,happiness,611217,https://opendict.korean.go.kr/dictionary/view?sense_no=611217,행복 안에서의 감사·자각을 일깨워서
기름떡 먹기,하기에 쉽고도 즐거운 일임을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘약과(를) 먹기(라)’ ‘개떡 먹기’ ‘깨떡 먹기’,happiness,601460,https://opendict.korean.go.kr/dictionary/view?sense_no=601460,쉽고 즐거운 일을 표현한 경쾌한 말이라서
고생 끝에 낙이 온다[있다],어려운 일이나 고된 일을 겪은 뒤에는 반드시 즐겁고 좋은 일이 생긴다는 말. &lt;동의 속담&gt; ‘태산을 넘으면 평지를 본다’,happiness,607539,https://opendict.korean.go.kr/dictionary/view?sense_no=607539,고난 뒤 기쁨이라는 희망 메시지라서
굿 구경 간 어미 기다리듯,"떡을 가지고 올까 하고 굿에 간 어미를 기다리는 아이처럼, 어떤 일에 희망이 있을 때 몹시 초조하게 기다림을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘굿에 간 어미 기다리듯’ ‘어린 아들 굿에 간 어미 기다리듯’",happiness,601325,https://opendict.korean.go.kr/dictionary/view?sense_no=601325,희망 품고 기다리는 기대의 기쁨이라서
더도 말고 덜도 말고 늘 가윗날만 같아라,"가윗날은 백곡이 익는 계절인 만큼 모든 것이 풍성하고 즐거운 놀이를 하며 지낸 데서, 잘 먹고 잘 입고 편히 살기를 바라는 말.",happiness,602226,https://opendict.korean.go.kr/dictionary/view?sense_no=602226,좋은 날이 계속되길 바라는 대표 축원이라서
